,id,message_date,user_id
0,1000_0,2018-06-27,1000
1,1000_1,2018-10-08,1000
2,1000_2,2018-08-04,1000
3,1000_3,2018-06-16,1000
4,1000_4,2018-12-05,1000
5,1000_5,2018-06-20,1000
6,1000_6,2018-11-19,1000
7,1000_7,2018-10-29,1000
8,1000_8,2018-06-25,1000
9,1000_9,2018-12-18,1000
10,1000_10,2018-05-30,1000
11,1000_11,2018-07-06,1000
12,1000_12,2018-08-20,1000
13,1000_13,2018-10-30,1000
14,1000_14,2018-09-14,1000
15,1000_15,2018-08-28,1000
16,1000_16,2018-06-25,1000
17,1000_17,2018-06-29,1000
18,1000_18,2018-07-07,1000
19,1000_19,2018-05-29,1000
20,1000_20,2018-05-28,1000
21,1000_21,2018-08-15,1000
22,1000_22,2018-07-29,1000
23,1000_23,2018-12-07,1000
24,1000_24,2018-12-25,1000
25,1000_25,2018-10-31,1000
26,1000_26,2018-07-29,1000
27,1000_27,2018-07-30,1000
28,1000_28,2018-11-05,1000
29,1000_29,2018-12-15,1000
30,1000_30,2018-12-04,1000
31,1000_31,2018-06-30,1000
32,1000_32,2018-07-07,1000
33,1000_33,2018-12-22,1000
34,1000_34,2018-10-02,1000
35,1000_35,2018-08-29,1000
36,1000_36,2018-08-15,1000
37,1000_37,2018-12-07,1000
38,1000_38,2018-11-05,1000
39,1000_39,2018-09-09,1000
40,1000_40,2018-07-19,1000
41,1000_41,2018-09-04,1000
42,1000_42,2018-07-15,1000
43,1000_43,2018-10-25,1000
44,1000_44,2018-12-04,1000
45,1000_45,2018-12-08,1000
46,1000_46,2018-06-01,1000
47,1000_47,2018-06-12,1000
48,1000_48,2018-12-21,1000
49,1000_49,2018-10-07,1000
50,1000_50,2018-08-30,1000
51,1000_51,2018-06-04,1000
52,1000_52,2018-10-01,1000
53,1000_53,2018-06-22,1000
54,1000_54,2018-10-12,1000
55,1000_55,2018-08-15,1000
56,1000_56,2018-10-15,1000
57,1000_57,2018-10-24,1000
58,1000_58,2018-09-20,1000
59,1000_59,2018-08-22,1000
60,1000_60,2018-09-17,1000
61,1000_61,2018-06-16,1000
62,1000_62,2018-08-27,1000
63,1000_63,2018-05-28,1000
64,1000_64,2018-09-04,1000
65,1000_65,2018-07-26,1000
66,1000_66,2018-06-05,1000
67,1000_67,2018-10-24,1000
68,1000_68,2018-12-18,1000
69,1000_69,2018-11-16,1000
70,1000_70,2018-09-06,1000
71,1000_71,2018-06-27,1000
72,1000_72,2018-12-04,1000
73,1000_73,2018-11-26,1000
74,1000_74,2018-11-18,1000
75,1000_75,2018-09-21,1000
76,1000_76,2018-07-11,1000
77,1000_77,2018-07-16,1000
78,1000_78,2018-11-08,1000
79,1000_79,2018-07-25,1000
80,1000_80,2018-09-13,1000
81,1000_81,2018-08-13,1000
82,1000_82,2018-12-31,1000
83,1000_83,2018-06-10,1000
84,1000_84,2018-06-28,1000
85,1000_85,2018-09-18,1000
86,1000_86,2018-06-16,1000
87,1000_87,2018-10-11,1000
88,1000_88,2018-07-15,1000
89,1000_89,2018-12-12,1000
90,1000_90,2018-07-12,1000
91,1000_91,2018-10-31,1000
92,1000_92,2018-09-01,1000
93,1000_93,2018-07-23,1000
94,1000_94,2018-09-22,1000
95,1000_95,2018-08-17,1000
96,1000_96,2018-05-30,1000
97,1000_97,2018-07-30,1000
98,1000_98,2018-06-22,1000
99,1000_99,2018-09-29,1000
100,1000_100,2018-08-20,1000
101,1000_101,2018-07-22,1000
102,1000_102,2018-06-18,1000
103,1000_103,2018-07-07,1000
104,1000_104,2018-06-14,1000
105,1000_105,2018-07-29,1000
106,1000_106,2018-12-10,1000
107,1000_107,2018-11-19,1000
108,1000_108,2018-11-29,1000
109,1000_109,2018-11-21,1000
110,1000_110,2018-12-28,1000
111,1000_111,2018-11-30,1000
112,1000_112,2018-10-24,1000
113,1000_113,2018-08-29,1000
114,1000_114,2018-08-28,1000
115,1000_115,2018-07-26,1000
116,1000_116,2018-08-31,1000
117,1000_117,2018-06-26,1000
118,1000_118,2018-07-21,1000
119,1000_119,2018-07-26,1000
120,1000_120,2018-11-15,1000
121,1000_121,2018-11-30,1000
122,1000_122,2018-12-07,1000
123,1000_123,2018-12-12,1000
124,1000_124,2018-10-06,1000
125,1000_125,2018-06-13,1000
126,1000_126,2018-12-29,1000
127,1000_127,2018-11-10,1000
128,1000_128,2018-08-24,1000
129,1000_129,2018-12-08,1000
130,1000_130,2018-11-30,1000
131,1000_131,2018-09-13,1000
132,1000_132,2018-11-07,1000
133,1000_133,2018-09-19,1000
134,1000_134,2018-08-10,1000
135,1000_135,2018-12-31,1000
136,1000_136,2018-11-15,1000
137,1000_137,2018-08-20,1000
138,1000_138,2018-07-08,1000
139,1000_139,2018-05-25,1000
140,1000_140,2018-11-16,1000
141,1000_141,2018-08-21,1000
142,1000_142,2018-07-28,1000
143,1000_143,2018-09-21,1000
144,1000_144,2018-07-31,1000
145,1000_145,2018-11-03,1000
146,1000_146,2018-06-18,1000
147,1000_147,2018-08-20,1000
148,1000_148,2018-11-04,1000
149,1000_149,2018-10-26,1000
150,1000_150,2018-07-01,1000
151,1000_151,2018-08-24,1000
152,1000_152,2018-12-05,1000
153,1000_153,2018-08-31,1000
154,1000_154,2018-11-29,1000
155,1000_155,2018-09-23,1000
156,1000_156,2018-08-25,1000
157,1000_157,2018-07-18,1000
158,1000_158,2018-08-29,1000
159,1000_159,2018-07-06,1000
160,1000_160,2018-06-13,1000
161,1000_161,2018-11-02,1000
162,1000_162,2018-05-27,1000
163,1000_163,2018-10-01,1000
164,1000_164,2018-07-23,1000
165,1000_165,2018-11-30,1000
166,1000_166,2018-07-19,1000
167,1000_167,2018-12-18,1000
168,1000_168,2018-10-31,1000
169,1000_169,2018-12-03,1000
170,1000_170,2018-11-23,1000
171,1000_171,2018-12-21,1000
172,1000_172,2018-11-08,1000
173,1000_173,2018-10-05,1000
174,1000_174,2018-07-23,1000
175,1000_175,2018-08-17,1000
176,1000_176,2018-10-26,1000
177,1000_177,2018-12-21,1000
178,1000_178,2018-11-12,1000
179,1000_179,2018-07-10,1000
180,1000_180,2018-06-24,1000
181,1000_181,2018-11-08,1000
182,1000_182,2018-10-15,1000
183,1000_183,2018-07-30,1000
184,1000_184,2018-10-17,1000
185,1000_185,2018-11-22,1000
186,1000_186,2018-11-09,1000
187,1000_187,2018-12-21,1000
188,1000_188,2018-09-29,1000
189,1000_189,2018-11-16,1000
190,1000_190,2018-11-24,1000
191,1000_191,2018-10-23,1000
192,1000_192,2018-10-19,1000
193,1000_193,2018-09-30,1000
194,1000_194,2018-06-09,1000
195,1000_195,2018-10-30,1000
196,1000_196,2018-08-17,1000
197,1000_197,2018-10-25,1000
198,1000_198,2018-10-24,1000
199,1000_199,2018-06-14,1000
200,1000_200,2018-12-06,1000
201,1000_201,2018-11-05,1000
202,1000_202,2018-05-27,1000
203,1000_203,2018-12-11,1000
204,1000_204,2018-06-29,1000
205,1000_205,2018-06-30,1000
206,1000_206,2018-06-01,1000
207,1000_207,2018-12-01,1000
208,1000_208,2018-12-19,1000
209,1000_209,2018-07-21,1000
210,1000_210,2018-07-10,1000
211,1000_211,2018-09-02,1000
212,1000_212,2018-10-22,1000
213,1000_213,2018-11-29,1000
214,1000_214,2018-08-03,1000
215,1000_215,2018-08-04,1000
216,1000_216,2018-06-29,1000
217,1000_217,2018-06-24,1000
218,1000_218,2018-10-25,1000
219,1000_219,2018-11-06,1000
220,1000_220,2018-09-21,1000
221,1000_221,2018-12-26,1000
222,1000_222,2018-10-31,1000
223,1000_223,2018-09-24,1000
224,1000_224,2018-09-07,1000
225,1000_225,2018-08-12,1000
226,1000_226,2018-10-11,1000
227,1000_227,2018-08-25,1000
228,1000_228,2018-10-20,1000
229,1000_229,2018-07-31,1000
230,1000_230,2018-10-23,1000
231,1000_231,2018-06-14,1000
232,1000_232,2018-12-27,1000
233,1000_233,2018-07-29,1000
